x y
148000 808
148100 762
148200 732
148300 702
148400 668
148500 614
148600 578
148700 524
148800 506
148900 490
149000 486
149100 494
149200 478
149300 436
149400 396
149500 366
149600 330
149700 276
149800 236
149900 190
150000 148
150100 146
150200 184
150300 198
150400 194
150500 184
150600 194
150700 244
150800 274
150900 264
151000 238
151100 206
151200 166
151300 144
151400 188
151500 238
151600 266
151700 290
151800 320
151900 356
152000 402
152100 444
152200 472
152300 484
152400 452
152500 412
152600 378
152700 342
152800 292
152900 258
153000 226
153100 196
153200 146
153300 114
153400 114
153500 144
153600 202
153700 246
153800 276
153900 316
154000 354
154100 392
154200 434
154300 478
154400 506
154500 548
154600 590
154700 632
154800 668
154900 710
155000 744
155100 788
155200 830
155300 868
155400 910
155500 966
155600 994
155700 1026
155800 1074
155900 1116
156000 1156
156100 1194
156200 1234
156300 1282
156400 1330
156500 1362
156600 1414
156700 1454
156800 1494
156900 1518
157000 1516
157100 1568
157200 1610
157300 1646
157400 1686
157500 1716
157600 1760
157700 1798
157800 1840
157900 1882
158000 1920
158100 1960
158200 2010
158300 2056
158400 2094
158500 2138
158600 2192
158700 2244
158800 2264
158900 2270
159000 2232
159100 2186
159200 2156
159300 2116
159400 2068
159500 2026
159600 1988
159700 1946
159800 1928
159900 1888
160000 1846
160100 1802
160200 1754
160300 1712
160400 1684
160500 1652
160600 1610
160700 1572
160800 1538
160900 1506
161000 1458
161100 1434
161200 1406
161300 1386
161400 1358
161500 1316
161600 1280
161700 1226
161800 1182
161900 1146
162000 1132
162100 1140
162200 1178
162300 1220
162400 1232
162500 1282
162600 1314
162700 1348
162800 1396
162900 1428
163000 1472
163100 1496
163200 1532
163300 1560
163400 1602
163500 1648
163600 1694
163700 1684
163800 1636
163900 1596
164000 1550
164100 1512
164200 1494
164300 1464
164400 1428
164500 1370
164600 1324
164700 1292
164800 1256
164900 1216
165000 1182
165100 1152
165200 1102
165300 1068
165400 1030
165500 988
165600 940
165700 898
165800 854
165900 838
166000 800
166100 758
166200 728
166300 694
166400 648
166500 616
166600 562
166700 524
166800 492
166900 436
167000 414
167100 410
167200 438
167300 482
167400 524
167500 558
167600 598
